CCTV,#genre#
CCTV1,http://play-hsbj.vzan.com/978354/446938712125478466/live.m3u8
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV1,http://36.32.174.67:60080/newlive/live/hls/14/live.m3u8
CCTV1,http://bxtv.3a.ink/api.php?id=cctv1
CCTV1,http://hmfs.f3322.net:3388/hls/1/index.m3u8
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV1,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8
CCTV1,http://111.221.137.155:44330/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://183.222.242.31:8088/hls/1/index.m3u8
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
CCTV2,http://221.2.148.205:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV2,http://120.211.62.180:8000/hls/2/index.m3u8
CCTV2,http://111.221.137.155:44330/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV2,http://bxtv.3a.ink/api.php?id=cctv2
CCTV2,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8
CCTV2,http://183.222.242.31:8088/hls/2/index.m3u8
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV3,http://sh.lnott.top:880/dx03.m3u8
CCTV3,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8
CCTV3,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV3,http://111.221.137.155:44330/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://112.46.105.20:8009/hls/3/index.m3u8
CCTV3,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://183.222.242.31:8088/hls/3/index.m3u8
